srcip,sport,dstip,dsport,sttl,dttl,tcprtt,synack,ct_state_ttl,Label
59.166.0.1,29637,149.171.126.4,80,31,29,0.000655,0.000512,0,0
59.166.0.8,33244,149.171.126.3,80,31,29,0.000692,0.000549,0,0
59.166.0.8,60002,149.171.126.1,80,31,29,0.000618,0.000492,0,0
59.166.0.4,4212,149.171.126.3,80,31,29,0.000622,0.000485,0,0
59.166.0.4,36082,149.171.126.3,80,31,29,0.00066,0.000525,0,0
59.166.0.4,5076,149.171.126.7,80,31,29,0.000639,0.000485,0,0
59.166.0.1,32636,149.171.126.1,80,31,29,0.000674,0.000539,0,0
59.166.0.7,21757,149.171.126.3,80,31,29,0.000674,0.000539,0,0
59.166.0.4,57239,149.171.126.4,80,31,29,0.000716,0.00056,0,0
59.166.0.4,8559,149.171.126.0,80,31,29,0.000721,0.000559,0,0
59.166.0.2,6441,149.171.126.0,80,31,29,0.000643,0.000511,0,0
59.166.0.1,27995,149.171.126.6,80,31,29,0.000652,0.00051,0,0
59.166.0.2,4086,149.171.126.9,80,31,29,0.000701,0.000561,0,0
59.166.0.4,14194,149.171.126.8,80,31,29,0.000715,0.000556,0,0
59.166.0.0,38888,149.171.126.6,80,31,29,0.00069,0.000552,0,0
59.166.0.6,21935,149.171.126.7,80,31,29,0.000712,0.000569,0,0
59.166.0.3,47699,149.171.126.4,80,31,29,0.000586,0.000447,0,0
59.166.0.0,13748,149.171.126.3,80,31,29,0.00068,0.000549,0,0
59.166.0.5,9748,149.171.126.7,80,31,29,0.000932,0.000757,0,0
59.166.0.2,40155,149.171.126.2,80,31,29,0.000731,0.000589,0,0
59.166.0.0,2231,149.171.126.4,80,31,29,0.000699,0.000545,0,0
59.166.0.9,57072,149.171.126.1,80,31,29,0.000739,0.000544,0,0
59.166.0.1,49993,149.171.126.5,80,31,29,0.000611,0.000463,0,0
59.166.0.1,59203,149.171.126.7,80,31,29,0.000712,0.000601,0,0
59.166.0.3,39080,149.171.126.2,80,31,29,0.000682,0.000537,0,0
59.166.0.5,32676,149.171.126.0,80,31,29,0.000617,0.000481,0,0
59.166.0.4,42582,149.171.126.2,80,31,29,0.00068,0.000549,0,0
59.166.0.2,47546,149.171.126.2,80,31,29,0.000728,0.000594,0,0
59.166.0.0,20898,149.171.126.8,80,31,29,0.000672,0.000538,0,0
59.166.0.4,31170,149.171.126.9,80,31,29,0.000558,0.000457,0,0
59.166.0.7,40713,149.171.126.7,80,31,29,0.000693,0.000557,0,0
59.166.0.7,51048,149.171.126.7,80,31,29,0.000709,0.000539,0,0
59.166.0.6,63392,149.171.126.3,80,31,29,0.000703,0.000551,0,0
59.166.0.6,61974,149.171.126.2,80,31,29,0.000718,0.000555,0,0
59.166.0.1,27289,149.171.126.4,80,31,29,0.000712,0.000553,0,0
59.166.0.1,5722,149.171.126.4,80,31,29,0.000677,0.000539,0,0
59.166.0.1,64257,149.171.126.4,80,31,29,0.000709,0.000548,0,0
59.166.0.9,61581,149.171.126.3,80,31,29,0.000739,0.000581,0,0
59.166.0.2,59076,149.171.126.3,80,31,29,0.000653,0.00052,0,0
59.166.0.0,32871,149.171.126.7,80,31,29,0.000671,0.000536,0,0
59.166.0.8,44629,149.171.126.9,80,31,29,0.000744,0.00058,0,0
59.166.0.7,50846,149.171.126.5,80,31,29,0.001633,0.000518,0,0
59.166.0.1,17858,149.171.126.6,80,31,29,0.000691,0.000556,0,0
59.166.0.1,1468,149.171.126.1,80,31,29,0.000652,0.000523,0,0
59.166.0.6,3228,149.171.126.6,80,31,29,0.00059,0.000462,0,0
59.166.0.8,27022,149.171.126.5,80,31,29,0.00073,0.000576,0,0
59.166.0.8,1048,149.171.126.1,80,31,29,0.000625,0.000491,0,0
59.166.0.0,25410,149.171.126.3,80,31,29,0.000605,0.000485,0,0
59.166.0.8,14733,149.171.126.0,80,31,29,0.000741,0.000563,0,0
59.166.0.7,44445,149.171.126.7,80,31,29,0.000716,0.000545,0,0
59.166.0.4,11809,149.171.126.8,80,31,29,0.000646,0.000509,0,0
59.166.0.7,17199,149.171.126.2,80,31,29,0.000597,0.000464,0,0
59.166.0.2,50741,149.171.126.7,80,31,29,0.001272,0.001139,0,0
59.166.0.1,3059,149.171.126.4,80,31,29,0.000608,0.000478,0,0
59.166.0.6,8059,149.171.126.6,80,31,29,0.00069,0.000544,0,0
59.166.0.9,7457,149.171.126.0,80,31,29,0.000669,0.000531,0,0
59.166.0.6,21529,149.171.126.8,80,31,29,0.00067,0.000525,0,0
59.166.0.8,24002,149.171.126.0,80,31,29,0.000668,0.000536,0,0
59.166.0.2,28977,149.171.126.6,80,31,29,0.002256,0.002015,0,0
59.166.0.0,20846,149.171.126.8,80,31,29,0.000656,0.000524,0,0
59.166.0.2,50095,149.171.126.2,80,31,29,0.000643,0.00051,0,0
59.166.0.5,48678,149.171.126.5,80,31,29,0.000662,0.000521,0,0
59.166.0.0,64778,149.171.126.6,80,31,29,0.000717,0.00056,0,0
59.166.0.2,22432,149.171.126.9,80,31,29,0.000651,0.000529,0,0
59.166.0.3,63212,149.171.126.7,80,31,29,0.000679,0.000542,0,0
175.45.176.0,57366,149.171.126.13,80,62,252,0.124559,0.063117,1,1
59.166.0.1,40744,149.171.126.7,80,31,29,0.000639,0.000507,0,0
59.166.0.7,64398,149.171.126.4,80,31,29,0.000621,0.00048,0,0
59.166.0.1,27334,149.171.126.7,80,31,29,0.000623,0.000486,0,0
175.45.176.2,22794,149.171.126.16,80,254,252,0.064706,0.012189,1,1
59.166.0.3,22565,149.171.126.2,80,31,29,0.000654,0.000513,0,0
59.166.0.2,17016,149.171.126.1,80,31,29,0.000677,0.000543,0,0
59.166.0.8,19929,149.171.126.5,80,31,29,0.000614,0.000492,0,0
59.166.0.7,34342,149.171.126.2,80,31,29,0.000642,0.000509,0,0
59.166.0.3,55877,149.171.126.1,80,31,29,0.000636,0.000502,0,0
59.166.0.7,2283,149.171.126.8,80,31,29,0.000683,0.000533,0,0
59.166.0.4,44337,149.171.126.5,80,31,29,0.000707,0.000551,0,0
59.166.0.4,10248,149.171.126.9,80,31,29,0.000846,0.000738,0,0
59.166.0.0,64182,149.171.126.1,80,31,29,0.000711,0.000552,0,0
59.166.0.6,34836,149.171.126.9,80,31,29,0.00064,0.000517,0,0
59.166.0.1,4705,149.171.126.9,80,31,29,0.000618,0.000482,0,0
59.166.0.4,42907,149.171.126.4,80,31,29,0.000636,0.000501,0,0
59.166.0.3,5263,149.171.126.3,80,31,29,0.00152,0.000492,0,0
59.166.0.5,40326,149.171.126.3,80,31,29,0.000655,0.000527,0,0
59.166.0.5,41512,149.171.126.0,80,31,29,0.000718,0.000557,0,0
59.166.0.8,8072,149.171.126.3,80,31,29,0.000615,0.00048,0,0
59.166.0.1,11550,149.171.126.1,80,31,29,0.000711,0.000568,0,0
59.166.0.9,40670,149.171.126.0,80,31,29,0.000648,0.00051,0,0
59.166.0.1,51381,149.171.126.0,80,31,29,0.000654,0.000511,0,0
59.166.0.4,13079,149.171.126.8,80,31,29,0.000626,0.000514,0,0
59.166.0.1,22998,149.171.126.5,80,31,29,0.00072,0.000547,0,0
59.166.0.5,49716,149.171.126.4,80,31,29,0.000609,0.000476,0,0
59.166.0.6,29298,149.171.126.2,80,31,29,0.000657,0.000514,0,0
59.166.0.1,24660,149.171.126.9,80,31,29,0.000677,0.00054,0,0
59.166.0.0,37126,149.171.126.9,80,31,29,0.000673,0.000538,0,0
175.45.176.1,42232,149.171.126.13,80,254,252,0.053411,0.009149,1,1
59.166.0.5,50061,149.171.126.5,80,31,29,0.000739,0.000584,0,0
59.166.0.6,46756,149.171.126.7,80,31,29,0.000733,0.000601,0,0
59.166.0.9,54028,149.171.126.0,80,31,29,0.000697,0.000542,0,0
59.166.0.5,33099,149.171.126.8,80,31,29,0.000675,0.000527,0,0
59.166.0.0,54961,149.171.126.9,80,31,29,0.000707,0.000553,0,0
59.166.0.2,8631,149.171.126.3,80,31,29,0.000684,0.000551,0,0
59.166.0.3,19592,149.171.126.7,80,31,29,0.000743,0.000558,0,0
59.166.0.2,7539,149.171.126.2,80,31,29,0.000648,0.00051,0,0
59.166.0.7,48116,149.171.126.7,80,31,29,0.000681,0.000548,0,0
59.166.0.9,1711,149.171.126.4,80,31,29,0.000661,0.000527,0,0
59.166.0.7,10892,149.171.126.8,80,31,29,0.000597,0.000461,0,0
59.166.0.9,11998,149.171.126.6,80,31,29,0.000683,0.000553,0,0
59.166.0.8,7378,149.171.126.3,80,31,29,0.001107,0.000994,0,0
59.166.0.1,17223,149.171.126.1,80,31,29,0.000639,0.000508,0,0
59.166.0.3,56979,149.171.126.1,80,31,29,0.000659,0.000525,0,0
59.166.0.3,32341,149.171.126.7,80,31,29,0.000628,0.000479,0,0
59.166.0.9,41689,149.171.126.9,80,31,29,0.000695,0.000539,0,0
59.166.0.5,8851,149.171.126.8,80,31,29,0.000599,0.000467,0,0
59.166.0.8,43536,149.171.126.4,80,31,29,0.000694,0.000544,0,0
59.166.0.2,43199,149.171.126.7,80,31,29,0.00199,0.001788,0,0
59.166.0.5,44510,149.171.126.6,80,31,29,0.00064,0.000492,0,0
59.166.0.6,18570,149.171.126.3,80,31,29,0.000651,0.000519,0,0
59.166.0.2,2259,149.171.126.0,80,31,29,0.000717,0.000554,0,0
59.166.0.2,59873,149.171.126.8,80,31,29,0.000633,0.000512,0,0
59.166.0.2,60166,149.171.126.3,80,31,29,0.000635,0.000492,0,0
59.166.0.2,25933,149.171.126.3,80,31,29,0.000637,0.000515,0,0
59.166.0.8,64621,149.171.126.4,80,31,29,0.000604,0.000477,0,0
59.166.0.3,65419,149.171.126.4,80,31,29,0.000651,0.000521,0,0
175.45.176.2,1888,149.171.126.12,9850,62,252,0.036189,0.018118,1,1
175.45.176.0,59521,149.171.126.15,80,254,252,0.09106,0.026161,1,1
59.166.0.9,40687,149.171.126.4,80,31,29,0.000652,0.000529,0,0
59.166.0.5,46292,149.171.126.5,80,31,29,0.00061,0.000481,0,0
59.166.0.4,18627,149.171.126.0,80,31,29,0.001551,0.001401,0,0
59.166.0.3,12825,149.171.126.8,80,31,29,0.000613,0.000476,0,0
59.166.0.4,65531,149.171.126.1,80,31,29,0.00067,0.000539,0,0
59.166.0.1,56906,149.171.126.1,80,31,29,0.000663,0.000528,0,0
59.166.0.6,59060,149.171.126.7,80,31,29,0.000679,0.000536,0,0
59.166.0.9,3003,149.171.126.3,80,31,29,0.000673,0.000547,0,0
59.166.0.0,22159,149.171.126.3,80,31,29,0.000631,0.000506,0,0
175.45.176.2,21200,149.171.126.15,80,62,252,0.092007,0.032134,1,1
59.166.0.5,62012,149.171.126.8,80,31,29,0.000931,0.000485,0,0
59.166.0.8,10239,149.171.126.8,80,31,29,0.000692,0.00054,0,0
59.166.0.2,6945,149.171.126.1,80,31,29,0.000697,0.000554,0,0
59.166.0.1,57252,149.171.126.3,80,31,29,0.000673,0.000536,0,0
59.166.0.2,25032,149.171.126.2,80,31,29,0.000717,0.000564,0,0
59.166.0.3,64637,149.171.126.4,80,31,29,0.000629,0.000498,0,0
59.166.0.9,23992,149.171.126.9,80,31,29,0.00071,0.000547,0,0
59.166.0.9,4128,149.171.126.2,80,31,29,0.000693,0.000558,0,0
59.166.0.2,45856,149.171.126.6,80,31,29,0.00088,0.000709,0,0
59.166.0.0,42191,149.171.126.7,80,31,29,0.000666,0.000542,0,0
59.166.0.0,47567,149.171.126.6,80,31,29,0.000683,0.000524,0,0
59.166.0.2,7091,149.171.126.9,80,31,29,0.000698,0.000543,0,0
59.166.0.6,10262,149.171.126.1,80,31,29,0.000703,0.000548,0,0
59.166.0.0,21260,149.171.126.5,80,31,29,0.000629,0.000504,0,0
59.166.0.8,26003,149.171.126.6,80,31,29,0.000718,0.00055,0,0
59.166.0.3,14624,149.171.126.7,80,31,29,0.000636,0.000501,0,0
175.45.176.0,9854,149.171.126.10,80,62,252,0.05466,0.006467,1,1
59.166.0.6,45653,149.171.126.4,80,31,29,0.000714,0.000549,0,0
59.166.0.2,16758,149.171.126.0,80,31,29,0.000658,0.000523,0,0
175.45.176.1,40713,149.171.126.18,80,62,252,0.187435,0.121833,1,1
59.166.0.8,1830,149.171.126.5,80,31,29,0.000719,0.000544,0,0
59.166.0.6,42019,149.171.126.5,80,31,29,0.000632,0.00048,0,0
59.166.0.9,57980,149.171.126.2,80,31,29,0.000701,0.000542,0,0
59.166.0.5,31323,149.171.126.8,80,31,29,0.001623,0.000492,0,0
59.166.0.9,51618,149.171.126.5,80,31,29,0.000851,0.000696,0,0
59.166.0.5,43016,149.171.126.7,80,31,29,0.000642,0.0005,0,0
59.166.0.1,40038,149.171.126.0,80,31,29,0.00072,0.000553,0,0
59.166.0.5,9131,149.171.126.7,80,31,29,0.000681,0.00054,0,0
59.166.0.1,42663,149.171.126.3,80,31,29,0.000644,0.00052,0,0
59.166.0.2,14928,149.171.126.1,80,31,29,0.000577,0.000465,0,0
59.166.0.6,38356,149.171.126.7,80,31,29,0.000843,0.000501,0,0
59.166.0.0,19207,149.171.126.8,80,31,29,0.000731,0.000578,0,0
59.166.0.8,4262,149.171.126.2,80,31,29,0.000637,0.000492,0,0
175.45.176.2,10099,149.171.126.11,80,254,252,0.032028,0.016856,1,1
59.166.0.2,13603,149.171.126.2,80,31,29,0.000642,0.000511,0,0
59.166.0.6,50840,149.171.126.7,80,31,29,0.000688,0.00055,0,0
59.166.0.4,24255,149.171.126.1,80,31,29,0.000726,0.000545,0,0
59.166.0.0,64903,149.171.126.1,80,31,29,0.000589,0.00047,0,0
59.166.0.6,24110,149.171.126.8,80,31,29,0.000666,0.000532,0,0
59.166.0.2,64576,149.171.126.6,80,31,29,0.000615,0.000483,0,0
59.166.0.5,11177,149.171.126.1,80,31,29,0.000697,0.000544,0,0
59.166.0.8,55826,149.171.126.7,80,31,29,0.000686,0.000548,0,0
59.166.0.7,45803,149.171.126.6,80,31,29,0.000673,0.000537,0,0
59.166.0.5,26330,149.171.126.9,80,31,29,0.000686,0.000539,0,0
59.166.0.6,38848,149.171.126.8,80,31,29,0.000724,0.000563,0,0
59.166.0.6,16117,149.171.126.6,80,31,29,0.00059,0.000472,0,0
59.166.0.0,4141,149.171.126.8,80,31,29,0.000692,0.000549,0,0
59.166.0.0,37142,149.171.126.2,80,31,29,0.001669,0.000548,0,0
59.166.0.6,1688,149.171.126.0,80,31,29,0.000732,0.000522,0,0
59.166.0.1,25193,149.171.126.9,80,31,29,0.000697,0.000545,0,0
59.166.0.3,3676,149.171.126.1,80,31,29,0.000704,0.000555,0,0
59.166.0.8,51205,149.171.126.1,80,31,29,0.000626,0.000492,0,0
59.166.0.4,49031,149.171.126.8,80,31,29,0.000598,0.00047,0,0
59.166.0.8,30176,149.171.126.7,80,31,29,0.00064,0.000515,0,0
59.166.0.7,49852,149.171.126.8,80,31,29,0.000701,0.000548,0,0
59.166.0.2,61583,149.171.126.3,80,31,29,0.000647,0.000502,0,0
59.166.0.3,19159,149.171.126.5,80,31,29,0.000646,0.000524,0,0
59.166.0.7,6078,149.171.126.1,80,31,29,0.001696,0.000558,0,0
59.166.0.3,16386,149.171.126.6,80,31,29,0.000663,0.000539,0,0
59.166.0.5,37054,149.171.126.3,80,31,29,0.000664,0.000539,0,0
59.166.0.8,26570,149.171.126.3,80,31,29,0.000676,0.000542,0,0
59.166.0.8,64892,149.171.126.3,80,31,29,0.00067,0.000536,0,0
59.166.0.7,5038,149.171.126.2,80,31,29,0.000682,0.00055,0,0
59.166.0.4,49462,149.171.126.8,80,31,29,0.00067,0.000535,0,0
59.166.0.3,3285,149.171.126.7,80,31,29,0.000712,0.000576,0,0
59.166.0.8,60817,149.171.126.5,80,31,29,0.000652,0.00052,0,0
59.166.0.1,45738,149.171.126.0,80,31,29,0.000608,0.000482,0,0
59.166.0.2,3721,149.171.126.4,80,31,29,0.000814,0.000676,0,0
59.166.0.7,39767,149.171.126.5,80,31,29,0.000728,0.000575,0,0
59.166.0.5,53313,149.171.126.7,80,31,29,0.000641,0.000507,0,0
59.166.0.2,51795,149.171.126.0,80,31,29,0.000698,0.000539,0,0
59.166.0.6,28266,149.171.126.8,80,31,29,0.000909,0.000756,0,0
59.166.0.8,43691,149.171.126.2,80,31,29,0.000656,0.000548,0,0
59.166.0.4,20396,149.171.126.5,80,31,29,0.000718,0.000565,0,0
59.166.0.2,27511,149.171.126.4,80,31,29,0.000625,0.000494,0,0
59.166.0.7,61195,149.171.126.3,80,31,29,0.000617,0.000492,0,0
59.166.0.9,13898,149.171.126.4,80,31,29,0.000664,0.00053,0,0
59.166.0.0,45520,149.171.126.4,80,31,29,0.000648,0.0005,0,0
59.166.0.7,20833,149.171.126.8,80,31,29,0.001581,0.000484,0,0
59.166.0.8,1072,149.171.126.6,80,31,29,0.000692,0.000537,0,0
59.166.0.6,19650,149.171.126.3,80,31,29,0.00068,0.000536,0,0
59.166.0.3,51243,149.171.126.1,80,31,29,0.00066,0.000526,0,0
59.166.0.4,28140,149.171.126.4,80,31,29,0.000588,0.000474,0,0
59.166.0.3,34863,149.171.126.2,80,31,29,0.000727,0.00055,0,0
59.166.0.5,13415,149.171.126.5,80,31,29,0.000821,0.000683,0,0
59.166.0.5,50539,149.171.126.0,80,31,29,0.000656,0.000532,0,0
59.166.0.8,5814,149.171.126.5,80,31,29,0.000697,0.000558,0,0
59.166.0.6,30315,149.171.126.2,80,31,29,0.000646,0.000523,0,0
59.166.0.5,47863,149.171.126.0,80,31,29,0.000658,0.000535,0,0
59.166.0.7,25572,149.171.126.4,80,31,29,0.000796,0.000636,0,0
59.166.0.5,21063,149.171.126.4,80,31,29,0.000718,0.000561,0,0
59.166.0.2,41386,149.171.126.5,80,31,29,0.000722,0.000539,0,0
59.166.0.3,7185,149.171.126.2,80,31,29,0.000808,0.000614,0,0
59.166.0.6,32717,149.171.126.1,80,31,29,0.000647,0.000515,0,0
59.166.0.0,35779,149.171.126.1,80,31,29,0.00072,0.000561,0,0
59.166.0.4,11027,149.171.126.1,80,31,29,0.000706,0.000556,0,0
59.166.0.2,50184,149.171.126.3,80,31,29,0.000601,0.000468,0,0
59.166.0.7,58293,149.171.126.9,80,31,29,0.000682,0.000549,0,0
59.166.0.1,3011,149.171.126.6,80,31,29,0.000602,0.00047,0,0
59.166.0.5,1805,149.171.126.8,80,31,29,0.000606,0.000482,0,0
59.166.0.4,6875,149.171.126.6,80,31,29,0.000703,0.000549,0,0
59.166.0.5,32998,149.171.126.2,80,31,29,0.000677,0.00056,0,0
59.166.0.7,25483,149.171.126.8,80,31,29,0.000679,0.000523,0,0
59.166.0.7,49131,149.171.126.1,80,31,29,0.000603,0.000465,0,0
59.166.0.3,20182,149.171.126.0,80,31,29,0.0007,0.000558,0,0
59.166.0.1,29077,149.171.126.4,80,31,29,0.000647,0.000533,0,0
59.166.0.9,14778,149.171.126.1,80,31,29,0.000693,0.00056,0,0
59.166.0.5,50071,149.171.126.0,80,31,29,0.000629,0.000495,0,0
59.166.0.1,2004,149.171.126.0,80,31,29,0.000668,0.000524,0,0
59.166.0.0,17578,149.171.126.9,80,31,29,0.000693,0.000553,0,0
175.45.176.1,35340,149.171.126.17,80,254,252,0.122057,0.039475,1,1
59.166.0.3,24503,149.171.126.2,80,31,29,0.000611,0.000481,0,0
59.166.0.7,11634,149.171.126.3,80,31,29,0.001028,0.000896,0,0
59.166.0.3,35963,149.171.126.2,80,31,29,0.000686,0.000552,0,0
59.166.0.7,42995,149.171.126.3,80,31,29,0.000773,0.000583,0,0
59.166.0.8,11870,149.171.126.3,80,31,29,0.000738,0.000496,0,0
59.166.0.8,32188,149.171.126.3,80,31,29,0.000722,0.000552,0,0
175.45.176.0,48458,149.171.126.12,80,62,252,0.17579,0.085481,1,1
59.166.0.6,52373,149.171.126.3,80,31,29,0.000711,0.000555,0,0
59.166.0.0,21994,149.171.126.6,80,31,29,0.000711,0.000548,0,0
59.166.0.6,57331,149.171.126.8,80,31,29,0.000617,0.000483,0,0
59.166.0.5,1297,149.171.126.2,80,31,29,0.000651,0.000527,0,0
59.166.0.0,43392,149.171.126.5,80,31,29,0.002075,0.001886,0,0
59.166.0.6,12733,149.171.126.0,80,31,29,0.000622,0.000489,0,0
59.166.0.2,43780,149.171.126.6,80,31,29,0.000756,0.000606,0,0
59.166.0.1,18254,149.171.126.1,80,31,29,0.000713,0.000563,0,0
59.166.0.6,21902,149.171.126.8,80,31,29,0.000652,0.000512,0,0
59.166.0.6,53151,149.171.126.6,80,31,29,0.000989,0.000804,0,0
59.166.0.5,61116,149.171.126.5,80,31,29,0.000657,0.000531,0,0
59.166.0.6,30305,149.171.126.2,80,31,29,0.000718,0.000569,0,0
59.166.0.6,23643,149.171.126.5,80,31,29,0.00065,0.000512,0,0
59.166.0.6,46197,149.171.126.6,80,31,29,0.000609,0.000485,0,0
59.166.0.7,2894,149.171.126.9,80,31,29,0.000667,0.000536,0,0
59.166.0.0,4809,149.171.126.5,80,31,29,0.000635,0.000492,0,0
59.166.0.9,64254,149.171.126.8,80,31,29,0.000695,0.000553,0,0
59.166.0.5,56551,149.171.126.9,80,31,29,0.000658,0.000524,0,0
59.166.0.4,21346,149.171.126.2,80,31,29,0.000705,0.000551,0,0
59.166.0.8,40133,149.171.126.8,80,31,29,0.000632,0.000499,0,0
59.166.0.6,33209,149.171.126.7,80,31,29,0.000622,0.000491,0,0
59.166.0.5,64199,149.171.126.9,80,31,29,0.00068,0.000554,0,0
59.166.0.8,32905,149.171.126.5,80,31,29,0.00068,0.000546,0,0
59.166.0.3,18911,149.171.126.6,80,31,29,0.000653,0.000541,0,0
59.166.0.2,22471,149.171.126.0,80,31,29,0.000715,0.000559,0,0
59.166.0.9,1213,149.171.126.7,80,31,29,0.000701,0.000533,0,0
59.166.0.4,4676,149.171.126.8,80,31,29,0.000682,0.000548,0,0
59.166.0.2,37755,149.171.126.4,80,31,29,0.000687,0.000542,0,0
59.166.0.0,40672,149.171.126.4,80,31,29,0.000601,0.000476,0,0
59.166.0.8,60050,149.171.126.8,80,31,29,0.000699,0.000566,0,0
59.166.0.4,4190,149.171.126.9,80,31,29,0.000634,0.000493,0,0
59.166.0.1,38108,149.171.126.8,80,31,29,0.000704,0.000542,0,0
59.166.0.4,9006,149.171.126.6,80,31,29,0.000672,0.000526,0,0
59.166.0.9,21269,149.171.126.8,80,31,29,0.000738,0.000579,0,0
59.166.0.5,14390,149.171.126.3,80,31,29,0.032978,0.031203,0,0
59.166.0.6,16029,149.171.126.7,80,31,29,0.000653,0.00051,0,0
59.166.0.6,4415,149.171.126.3,80,31,29,0.003468,0.000555,0,0
59.166.0.9,13863,149.171.126.2,80,31,29,0.000676,0.000524,0,0
59.166.0.1,47720,149.171.126.3,80,31,29,0.000619,0.000479,0,0
175.45.176.1,50758,149.171.126.10,80,254,252,0.127329,0.061872,1,1
59.166.0.4,64547,149.171.126.4,80,31,29,0.00063,0.000496,0,0
59.166.0.0,38971,149.171.126.3,80,31,29,0.000601,0.000469,0,0
59.166.0.4,30953,149.171.126.1,80,31,29,0.000652,0.000513,0,0
59.166.0.5,27092,149.171.126.9,80,31,29,0.000697,0.000549,0,0
59.166.0.3,25456,149.171.126.6,80,31,29,0.000609,0.000483,0,0
